"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","workerId","interview_date","handedness","version","difficulty","max_strikes","max_streaks","index","deck_contingencies","streak","strike","key_press","reward_type","reversal_type","reward_tally","rating_random","rating_sabotage"
"1419","
        <p>Welcome to the experiment!</p>
        <p>Press any key to begin.</p>"," ","html-keyboard-response","0","1434","0.0-0.0","","","","","","","","","","","","","","","","",""
"883","
        <p>In this study, you will play a game about working with people, and your goal is to win as many points as you can.</p>
        <p>If your score lands you in the top 25% of participants, you will get an extra $2 bonus, so please do your best!</p>
        <p>Please press the zero (0) key to continue.</p>","0","html-keyboard-response","1","2318","0.0-1.0","","","","","","","","","","","","","","","","",""
"381","
        <p>Imagine you are beginning a new job and your boss regularly evaluates you.</p>
        <p>When you perform well, you earn points with your boss (+100); however poor performance will lead you to lose points (-50).</p>
        <p>To complete tasks successfully, you must rely on co-workers for advice and help. Some of your co-workers are helpful, whereas others are not.</p>
        <p>Furthermore, sometimes they will want to see you fail and switch from helping you to actively hurting your performance.</p>
        <p>Your goal is to earn as many points as possible.</p>
        <p>Three co-workers are shown below. On each turn, you will select one to ask for help. You can choose a co-worker using the <i>1</i>, <i>2</i>, or <i>3</i> keys on your keyboard to choose the <i>left</i>, <i>middle</i>, or <i>right</i> deck respectively.</p>
        <p>Let's practice choosing co-workers.</p>
        <p>Please choose the <strong>left</strong> co-worker by pressing the <strong>1</strong> key.
        <div class='image-container'>
            <img class='stimuli-left' src='stim/avatar/0/red.png'>
            <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
            <img class='stimuli-right' src='stim/avatar/0/black.png'>
        </div>","1","html-keyboard-response","2","2699","0.0-2.0","","","","","","","","","","","","","","","","",""
"431","
        <p>Great! Now choose the <strong>middle</strong> co-worker by pressing the <strong>2</strong> key.</p>
        <div class='image-container'>
            <img class='stimuli-left' src='stim/avatar/0/red.png'>
            <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
            <img class='stimuli-right' src='stim/avatar/0/black.png'>
        </div>","2","html-keyboard-response","3","3132","0.0-3.0","","","","","","","","","","","","","","","","",""
"307","
        <p>Excellent! Now choose the <strong>right</strong> co-worker by pressing the <strong>3</strong> key.</p>
        <div class='image-container'>
            <img class='stimuli-left' src='stim/avatar/0/red.png'>
            <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
            <img class='stimuli-right' src='stim/avatar/0/black.png'>
        </div>","3","html-keyboard-response","4","3442","0.0-4.0","","","","","","","","","","","","","","","","",""
"442","
        <p>Good job! You have successfully practiced selecting co-workers for help.</p>
        <p>After you select a co-worker, you will see if they helped you earn points with the boss (+100 points) or lose points with the boss (-50 points).</p>
        <p>Below you can see what those outcomes look like:</p>
        <div class='outcome-container'>
            <img class='outcome-left' src='stim/outcome/scaled_win.jpg'>
            <img class='outcome-right' src='stim/outcome/scaled_lose.jpg'>
        </div>
        <p><strong>Note that each co-worker is different. Your job is to find the best co-worker, and to get as many points as possible.</p>
        <p>However, no co-worker is perfect. Anyone can have a bad day.</strong></p>
        <p>Please press the zero (0) key to continue.","0","html-keyboard-response","5","3885","0.0-5.0","","","","","","","","","","","","","","","","",""
"551","
        <p>However, there is one final catch:</p>
        <p><b>Sometimes, the co-workers may change! The co-worker that previously helped may start to sabotage you while the other co-workers become helpful.</b></p>
        <p>If you think the best co-worker has changed, then try to find out the new best co-worker.</p>
        <br />
        <p>The following is a practice round of just 3 turns.<p>
        <p>The points you get here won’t change your final score, and the best co-worker will change between the practice round and when the real game starts.</p>
        <br /><br />
        Please press the zero (0) key to start the practice round.","0","html-keyboard-response","6","4436","0.0-6.0","","","","","","","","","","","","","","","","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","7","4937","0.0-7.0-0.0","","","","","","","","","","","","","","","","",""
"369","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","8","5308","0.0-7.0-1.0","","","","","","","","","","","","","","","","",""
"null","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","null","html-keyboard-response","9","6311","0.0-7.0-2.0","","","","","","","","","","","","","","","","",""
